COD	Clade
marC36	Bivalvia
marC38	Bivalvia
marC39	Bivalvia
marC40	Bivalvia
praH2	Lepidosauria
praH3	Lepidosauria
hcaH1	Lepidosauria
hcaH2	Lepidosauria
hcaH3	Lepidosauria
hcaH4	Lepidosauria
phyH1	Actinopteri
phyH2	Actinopteri
phyH3	Actinopteri
phyC4	Actinopteri
phyC5	Actinopteri
phyC6	Actinopteri
phyC7	Actinopteri
phyC8	Actinopteri
sboH1	Amphibia
sboH2	Amphibia
sboH3	Amphibia
sboH4	Amphibia
sboH5	Amphibia
sboH6	Amphibia
ncoH2	Mammalia
ncoH4	Mammalia
sjaC1	Actinopteri
sjaH2	Actinopteri
sjaH3	Actinopteri
sjaH4	Actinopteri
sjaC5	Actinopteri
ajuH2	Mammalia
pinC1	Insecta
pinC2	Insecta
bboH1	Amphibia
bboH2	Amphibia
bboH3	Amphibia
bboH4	Amphibia
bboC5	Amphibia
bboC6	Amphibia
bboC7	Amphibia
bboC8	Amphibia
bboH9	Amphibia
mcaH3	Mammalia
mpaH2	Mammalia
acalC1	Actinopteri
acalH2	Actinopteri
acalH3	Actinopteri
acalH4	Actinopteri
ateC1	Actinopteri
ateC2	Actinopteri
ateC3	Actinopteri
ateH4	Actinopteri
ateH5	Actinopteri
ateH6	Actinopteri
ateC7	Actinopteri
ateC8	Actinopteri
marmH1	Actinopteri
marmC2	Actinopteri
marmH3	Actinopteri
marmC4	Actinopteri
marmC5	Actinopteri
marmH6	Actinopteri
marmH7	Actinopteri
achH2	Aves
cgoH1	Actinopteri
cgoC2	Actinopteri
cgoC3	Actinopteri
cgoH4	Actinopteri
cgoH5	Actinopteri
cgoC6	Actinopteri
pranC1	Actinopteri
pranC2	Actinopteri
pranH3	Actinopteri
pranH4	Actinopteri
pranH5	Actinopteri
gwiC1	Actinopteri
gwiC2	Actinopteri
gwiH3	Actinopteri
gwiC4	Actinopteri
gwiH5	Actinopteri
gwiH6	Actinopteri
bspH1	Actinopteri
bspH2	Actinopteri
bspH3	Actinopteri
bspC4	Actinopteri
bspH5	Actinopteri
bspC6	Actinopteri
bspC7	Actinopteri
dclH1	Actinopteri
dclH2	Actinopteri
dclH3	Actinopteri
dclC4	Actinopteri
charH1	Actinopteri
charH2	Actinopteri
charH3	Actinopteri
charC4	Actinopteri
charC5	Actinopteri
ecalH1	Cladistia
ecalH2	Cladistia
ecalC3	Cladistia
ecalC4	Cladistia
ecalH5	Cladistia
ecalC6	Cladistia
ecalC7	Cladistia
sauH1	Actinopteri
sauH2	Actinopteri
sauC3	Actinopteri
sauC4	Actinopteri
sauC5	Actinopteri
sauC6	Actinopteri
sauH7	Actinopteri
enaC1	Actinopteri
enaH3	Actinopteri
enaC4	Actinopteri
enaH5	Actinopteri
sfoH1	Actinopteri
sfoH2	Actinopteri
sfoC3	Actinopteri
sfoC4	Actinopteri
sfoH5	Actinopteri
truH1	Actinopteri
truH2	Actinopteri
truH3	Actinopteri
rbiH1	Amphibia
rbiH2	Amphibia
rbiH3	Amphibia
rbiH4	Amphibia
strC2	Actinopteri
strH3	Actinopteri
strC12	Actinopteri
strC13	Actinopteri
strC14	Actinopteri
strH15	Actinopteri
strH16	Actinopteri
strC18	Actinopteri
sacC1	Actinopteri
sacH2	Actinopteri
sacH3	Actinopteri
sacH4	Actinopteri
muniH1	Amphibia
muniH2	Amphibia
muniH3	Amphibia
muniH4	Amphibia
cpaH2	Aves
sfasC1	Actinopteri
sfasH2	Actinopteri
sfasH3	Actinopteri
sfasH4	Actinopteri
sfasC5	Actinopteri
sfasC6	Actinopteri
sorC1	Actinopteri
sorH2	Actinopteri
sorC3	Actinopteri
sorH5	Actinopteri
mmurH4	Actinopteri
mmurC5	Actinopteri
mmurC6	Actinopteri
mmurH7	Actinopteri
mmurH8	Actinopteri
gmoC1	Actinopteri
gmoH2	Actinopteri
gmoH3	Actinopteri
gmoH4	Actinopteri
gmoC5	Actinopteri
cchC1	Actinopteri
cchH2	Actinopteri
cchH3	Actinopteri
cchH4	Actinopteri
cchH5	Actinopteri
cchC6	Actinopteri
cchC7	Actinopteri
cchC8	Actinopteri
cchC9	Actinopteri
cchH10	Actinopteri
gseH1	Amphibia
gseH2	Amphibia
gseH3	Amphibia
gseH4	Amphibia
tamH1	Actinopteri
tamH2	Actinopteri
tamH3	Actinopteri
tamH4	Actinopteri
tamC5	Actinopteri
sharH1	Mammalia
sharH2	Mammalia
sharH3	Mammalia
pmaxN2	Bivalvia
pmaxC3	Bivalvia
pmaxC4	Bivalvia
pmaxN5	Bivalvia
pmaxC6	Bivalvia
pmaxN7	Bivalvia
pmaxN8	Bivalvia
pmaxN10	Bivalvia
pmaxN11	Bivalvia
pmaxC12	Bivalvia
pmaxC13	Bivalvia
pmaxN14	Bivalvia
lluH2	Mammalia
scarH1	Mammalia
scarH2	Mammalia
scanH4	Chondrichthyes
scanC5	Chondrichthyes
scanH6	Chondrichthyes
scanC7	Chondrichthyes
scanH8	Chondrichthyes
cgigC1	Bivalvia
cgigN2	Bivalvia
cgigC3	Bivalvia
cgigN4	Bivalvia
cgigC7	Bivalvia
cgigN8	Bivalvia
cgigN9	Bivalvia
cgigC10	Bivalvia
cgigC11	Bivalvia
cgigC12	Bivalvia
cgigC13	Bivalvia
cgigC14	Bivalvia
cgigN15	Bivalvia
cgigN16	Bivalvia
cgigN17	Bivalvia
cgigN18	Bivalvia
cgigN19	Bivalvia
cgigC20	Bivalvia
cgigC21	Bivalvia
cgigC22	Bivalvia
cgigC23	Bivalvia
cgigC24	Bivalvia
cgigC25	Bivalvia
cgigC26	Bivalvia
mhyC1	Insecta
mhyC2	Insecta
pgeC1	Actinopteri
pgeH2	Actinopteri
pgeH3	Actinopteri
pgeH4	Actinopteri
aamH3	Mammalia
arusH1	Mammalia
arusH2	Mammalia
alaH1	Actinopteri
alaH2	Actinopteri
alaC3	Actinopteri
alaC4	Actinopteri
alaC6	Actinopteri
alaH7	Actinopteri
hilC1	Insecta
hilC3	Insecta
nioC3	Insecta
pbrC1	Insecta
pbrC2	Insecta
aagC1	Insecta
aagC2	Insecta
vatC2	Insecta
prapC1	Insecta
prapC2	Insecta
paeC1	Insecta
paeC2	Insecta
bbufH1	Amphibia
bbufH2	Amphibia
bbufH3	Amphibia
rteH1	Amphibia
rteH2	Amphibia
rteH4	Amphibia
vcarC1	Insecta
vcarC2	Insecta
ccrC1	Insecta
ccrC2	Insecta
mciC1	Insecta
mciC2	Insecta
ssaH1	Actinopteri
ssaH2	Actinopteri
ssaH3	Actinopteri
ssaC4	Actinopteri
ssaH5	Actinopteri
ssaC6	Actinopteri
ssaC7	Actinopteri
ssaC9	Actinopteri
ssaC10	Actinopteri
ssaC11	Actinopteri
mjuC1	Insecta
mjuC2	Insecta
lsiC1	Insecta
lsiC2	Insecta
ccarC15	Insecta
pnapC1	Insecta
obicC1	Insecta
obicC3	Insecta
csepC1	Insecta
csepC2	Insecta
vcrC1	Insecta
bteC1	Insecta
bteC2	Insecta
celH1	Mammalia
celH3	Mammalia
celH5	Mammalia
tmaC1	Actinopteri
tmaH2	Actinopteri
tmaH3	Actinopteri
tmaC5	Actinopteri
tmaC6	Actinopteri
tmaC7	Actinopteri
pmacC1	Insecta
pmacC2	Insecta
talC1	Actinopteri
talC2	Actinopteri
talC3	Actinopteri
talC4	Actinopteri
talH5	Actinopteri
talH6	Actinopteri
haxC1	Insecta
haxC2	Insecta
aroC1	Insecta
dviC1	Insecta
dviC3	Insecta
ielC1	Insecta
ielC2	Insecta
ielC3	Insecta
mmelH1	Mammalia
mmelH2	Mammalia
ageH1	Aves
pvuN1	Gastropoda
pvuC2	Gastropoda
pvuC3	Gastropoda
pvuC4	Gastropoda
pvuC5	Gastropoda
pvuC6	Gastropoda
pvuN7	Gastropoda
pvuC8	Gastropoda
pvuN9	Gastropoda
pvuC10	Gastropoda
pvuC11	Gastropoda
pvuC12	Gastropoda
pvuC13	Gastropoda
pxyC1	Insecta
pxyN2	Insecta
nveN1	Anthozoa
nveN2	Anthozoa
nveN3	Anthozoa
oorH2	Mammalia
acrC1	Insecta
acrC2	Insecta
aaqC1	Insecta
acoC2	Insecta
amaC2	Insecta
adaC1	Insecta
adaC2	Insecta
amoC1	Insecta
amoC2	Insecta
afunC1	Insecta
afunC2	Insecta
anilC1	Insecta
banC1	Insecta
banC2	Insecta
pplC1	Actinopteri
pplH2	Actinopteri
pplH3	Actinopteri
pplH4	Actinopteri
pplC5	Actinopteri
