COD	Clade
clumC3	Actinopteri
clumC4	Actinopteri
clumH5	Actinopteri
clumC6	Actinopteri
colH2	Aves
ocuH2	Mammalia
lagH1	Lepidosauria
lagH2	Lepidosauria
lagH3	Lepidosauria
hhiC1	Actinopteri
hhiH2	Actinopteri
hhiC4	Actinopteri
hhiH5	Actinopteri
hhiH6	Actinopteri
afuH1	Aves
afuH2	Aves
cusH2	Aves
pmagH1	Actinopteri
pmagC3	Actinopteri
pmagH4	Actinopteri
pmagH5	Actinopteri
pmagC6	Actinopteri
claH2	Aves
merH2	Mammalia
merH3	Mammalia
cfeH3	Mammalia
cfeH4	Mammalia
dpsC1	Insecta
dpsC2	Insecta
bmuH1	Mammalia
pfluC1	Actinopteri
pfluH3	Actinopteri
pfluH4	Actinopteri
pfluC5	Actinopteri
pfluC6	Actinopteri
creN1	Chromadorea
aruH1	Actinopteri
aruH2	Actinopteri
aruC3	Actinopteri
aruC5	Actinopteri
aruC6	Actinopteri
aruC7	Actinopteri
aruH8	Actinopteri
aruH9	Actinopteri
aruH10	Actinopteri
aruH11	Actinopteri
aruH12	Actinopteri
aruH15	Actinopteri
aruC16	Actinopteri
bkiC1	Insecta
bkiC3	Insecta
araH1	Chondrichthyes
araC2	Chondrichthyes
araC3	Chondrichthyes
araC4	Chondrichthyes
araH5	Chondrichthyes
araH6	Chondrichthyes
pmarH4	Hyperoartia
pmarH5	Hyperoartia
pmarH6	Hyperoartia
pmarC7	Hyperoartia
pmarN8	Hyperoartia
pmarC9	Hyperoartia
pmarH11	Hyperoartia
pmarC12	Hyperoartia
pmarC13	Hyperoartia
pmarC14	Hyperoartia
eluH1	Actinopteri
eluH2	Actinopteri
eluH3	Actinopteri
eluC4	Actinopteri
eluC5	Actinopteri
eluC6	Actinopteri
eluC7	Actinopteri
eluC8	Actinopteri
eluC9	Actinopteri
eluC10	Actinopteri
eluC11	Actinopteri
ojaH1	Aves
tvuH1	Mammalia
tvuH2	Mammalia
tvuH3	Mammalia
fheH1	Actinopteri
fheC2	Actinopteri
fheH3	Actinopteri
fheH4	Actinopteri
fheH5	Actinopteri
fheN6	Actinopteri
fheC7	Actinopteri
fheC8	Actinopteri
efuC1	Actinopteri
efuH2	Actinopteri
efuH3	Actinopteri
efuH4	Actinopteri
efuC5	Actinopteri
efuC6	Actinopteri
dbuC1	Insecta
dbuC2	Insecta
aniH3	Mammalia
ttrH2	Mammalia
zviH1	Lepidosauria
zviH2	Lepidosauria
zceC1	Insecta
zceC2	Insecta
munH2	Aves
mfaH2	Mammalia
mfaH3	Mammalia
ppaH1	Mammalia
ppaH4	Mammalia
tscH1	Testudines
ecrH1	Actinopteri
ecrH2	Actinopteri
ecrC3	Actinopteri
ecrH4	Actinopteri
ecrC5	Actinopteri
ecrC7	Actinopteri
astC1	Insecta
astC2	Insecta
omyC2	Actinopteri
omyC3	Actinopteri
omyH4	Actinopteri
omyH5	Actinopteri
omyH6	Actinopteri
omyH7	Actinopteri
omyC8	Actinopteri
rsaC1	Arachnida
rsaC3	Arachnida
rmiC1	Arachnida
rmiC2	Arachnida
dsiC1	Arachnida
dsiC2	Arachnida
dsuzC1	Insecta
aanH1	Actinopteri
aanH2	Actinopteri
aanH3	Actinopteri
aanH4	Actinopteri
aanC5	Actinopteri
aanC6	Actinopteri
aanC7	Actinopteri
aanC8	Actinopteri
aanC9	Actinopteri
aanH10	Actinopteri
eelH1	Actinopteri
eelH2	Actinopteri
eelH3	Actinopteri
eelC4	Actinopteri
oauC1	Actinopteri
oauH2	Actinopteri
oauH3	Actinopteri
oauC4	Actinopteri
oauC5	Actinopteri
oauC6	Actinopteri
oauH7	Actinopteri
mcyH1	Actinopteri
mcyC2	Actinopteri
mcyH3	Actinopteri
mcyH4	Actinopteri
mcyH5	Actinopteri
mcyH6	Actinopteri
mcyC7	Actinopteri
mcyC8	Actinopteri
mphC1	Insecta
mphC3	Insecta
catH2	Aves
amiN1	Anthozoa
amiN2	Anthozoa
amiC3	Anthozoa
aalC2	Insecta
nluC1	Insecta
vpeC2	Insecta
bcoC2	Insecta
bcoC3	Insecta
bcoC4	Insecta
oprH1	Mammalia
oprH2	Mammalia
oprH3	Mammalia
dsubC1	Insecta
smeC1	Actinopteri
smeC2	Actinopteri
smeC3	Actinopteri
smeH4	Actinopteri
smeH5	Actinopteri
smeH7	Actinopteri
bpyC1	Insecta
bpyC2	Insecta
mseC1	Insecta
mseC2	Insecta
mseC4	Insecta
bgaH1	Amphibia
bgaH2	Amphibia
bgaH3	Amphibia
agiC1	Insecta
agiC2	Insecta
bmoC1	Insecta
bmoC2	Insecta
nwhH1	Actinopteri
nwhH2	Actinopteri
nwhH3	Actinopteri
