Ceratosolen solmsi marchali	142686	3
Ceratotherium simum simum	9807	3
Cercocebus atys	9531	3
Tribolium madens	41895	3
Helobdella robusta	6412	3
Chelonus insularis	460826	3
Chinchilla lanigera	34839	3
Trachypithecus francoisi	54180	3
Bombus vosnesenskii	207650	3
Bombus vancouverensis nearcticus	2705177	3
Bombus impatiens	132113	3
Vicugna pacos	30538	3
Zonotrichia albicollis	44394	3
Zeugodacus cucurbitae	28588	3
Wasmannia auropunctata	64793	3
Alligator mississippiensis	8496	3
Alligator sinensis	38654	3
Amphimedon queenslandica	400682	3
Vulpes vulpes	9627	3
Vombatus ursinus	29139	3
Vollenhovia emeryi	411798	3
Apis cerana	7461	3
Bombus bifarius	103933	3
Apis dorsata	7462	3
Apis florea	7463	3
Aptenodytes forsteri	9233	3
Varanus komodoensis	61221	3
Atta cephalotes	12957	3
Bactrocera latifrons	174628	3
Balaenoptera acutorostrata scammoni	9767	3
Ursus maritimus	29073	3
Ursus arctos	9644	3
Chlorocebus sabaeus	60711	3
Chelonoidis abingdonii	106734	3
Cimex lectularius	79782	3
Eumetopias jubatus	34886	3
Drosophila navojoa	7232	3
Dufourea novaeangliae	178035	3
Columba livia	8932	3
Echinops telfairi	9371	3
Elephantulus edwardii	28737	3
Enhydra lutris kenyoni	34882	3
Equus przewalskii	9798	3
Erinaceus europaeus	9365	3
Eufriesea mexicana	516756	3
Stegodyphus dumicola	202533	3
Drosophila arizonae	7263	3
Fopius arisanus	64838	3
Sorex araneus	42254	3
Fukomys damarensis	885580	3
Glossina fuscipes	7396	3
Grammomys surdaster	491861	3
Habropoda laboriosa	597456	3
Sapajus apella	9515	3
Saimiri boliviensis boliviensis	27679	3
Harpegnathos saltator	610380	3
Drosophila guanche	7266	3
Sturnira hondurensis	192404	3
Frieseomelitta varia	561572	3
Dermatophagoides pteronyssinus	6956	3
Ctenocephalides felis	7515	3
Cyphomyrmex costatus	456900	3
Dipodomys ordii	10020	3
Dasypus novemcinctus	9361	3
Dendroctonus ponderosae	77166	3
Cryptotermes secundus	105785	3
Diachasma alloeum	454923	3
Copidosoma floridanum	29053	3
Trachymyrmex septentrionalis	34720	3
Diaphorina citri	121845	3
Dinoponera quadriceps	609295	3
Condylura cristata	143302	3
Tinamus guttatus	94827	2
Varroa jacobsoni	62625	2
Thamnophis sirtalis	35019	2
Pterocles gutturalis	240206	2
Tetranychus urticae	32264	2
Rhagoletis pomonella	28610	2
Thrips palmi	161013	2
Tyto alba	56313	2
Polistes canadensis	91411	2
Pyrgilauda ruficollis	221976	2
Polistes fuscatus	30207	2
Pseudopodoces humilis	181119	2
Varroa destructor	109461	2
Vanessa tameamea	334116	2
Strongylocentrotus purpuratus	7668	2
Struthio camelus australis	8801	2
Trichogramma pretiosum	7493	2
Sturnus vulgaris	9172	2
Polistes dominula	743375	2
Acanthisitta chloris	57068	2
Pipra filicauda	649802	2
Dryobates pubescens	118200	2
Cricetulus griseus	10029	2
Crocodylus porosus	8502	2
Cuculus canorus	55661	2
Cyanistes caeruleus	156563	2
Dermacentor andersoni	34620	2
Dromaius novaehollandiae	8790	2
Egretta garzetta	188379	2
Corvus brachyrhynchos	85066	2
Empidonax traillii	164674	2
Phasianus colchicus	9054	2
Falco peregrinus	8954	2
Frankliniella occidentalis	133901	2
Fulmarus glacialis	30455	2
Galendromus occidentalis	34638	2
Corvus kubaryi	68294	2
Corapipo altera	415028	2
Gavialis gangeticus	94835	2
Apteryx rowi	308060	2
Acropora digitifera	70779	2
Actinia tenebrosa	6105	2
Amyelois transitella	680683	2
Anneissia japonica	1529436	2
